root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT5G51620	1	1	1	1	1	1	1	1	1	1	0	1	1
AT5G58710	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G50400	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G33064	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G43600	1	1	0	1	0	1	0	0	0	0	1	1	1
AT5G25800	0	1	1	1	1	1	1	1	1	1	0	1	1
AT3G10750	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G05140	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65860	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G45070;AT3G45080	0	1	1	0	0	0	0	1	1	0	1	1	1
AT5G64640	0	0	1	1	1	1	0	1	0	1	1	0	1
AT3G06620	1	0	0	0	1	0	1	1	0	1	1	0	1
AT3G54130	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G06110	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G19380	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76340	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G02270	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G53420	0	0	1	1	1	1	1	1	1	1	1	1	1
AT2G32700	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G20000	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G09870	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G01560	0	1	0	0	0	1	0	0	0	0	0	0	0
AT1G13260	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G38820	1	1	1	1	1	1	0	0	1	1	1	1	1
AT1G57990;AT1G57980	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G46680	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05400	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02475	1	1	0	1	0	0	0	1	1	0	0	1	1
AT3G45460	0	0	0	1	0	0	0	0	0	0	0	0	1
AT5G45970	0	0	0	1	1	0	0	0	0	1	0	0	1
AT3G13175	0	0	1	1	0	0	0	0	1	0	1	1	1
AT3G60060	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12040	1	0	0	0	0	0	0	0	0	0	0	0	1
AT3G12550	0	1	1	1	0	1	0	0	0	1	0	0	1
AT3G49810	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G20830	0	1	1	1	1	1	1	1	1	0	1	1	1
AT1G56450	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G19640	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G46940	1	1	1	1	1	1	1	1	1	0	1	1	1
AT3G26790	0	0	0	1	0	0	0	0	0	0	0	0	1
AT4G27560;AT4G27570	0	0	1	1	0	0	1	1	0	0	1	0	0
AT5G27920	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G78140	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G42520	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G37810;AT5G37820	0	0	0	0	0	0	0	0	1	0	0	0	0
AT5G60890	0	0	1	1	1	0	1	1	1	1	1	1	1
AT1G53000	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G12350	0	0	1	1	1	1	1	1	1	1	1	0	0
AT5G49610	1	1	1	1	1	1	1	1	1	1	1	0	1
AT1G01140	1	0	1	0	1	1	1	1	0	0	1	0	1
AT3G01650	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G56250	0	0	0	0	1	0	0	0	0	0	1	0	0
AT5G56760	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G08740	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G23340	0	0	0	0	0	0	0	1	0	0	0	0	0
AT5G47770	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G15380	0	0	0	1	1	1	1	1	1	1	0	1	1
AT3G22120	0	0	1	0	0	0	0	0	0	0	0	0	0
AT2G01910	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G04160	1	1	0	0	0	1	0	0	1	1	1	1	1
AT2G12120;AT5G28482;AT2G05470	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G55540	0	1	1	1	1	1	1	1	1	1	1	1	1
AT1G67240	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19730	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G15890	0	0	0	1	1	0	0	1	1	0	0	0	0
AT5G22630	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G41970	1	0	0	0	0	1	0	0	0	0	0	1	1
AT1G66020	0	0	0	1	1	0	0	0	0	0	0	0	0
AT3G22121	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62180	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33110	0	1	1	0	0	0	1	1	1	0	1	1	1
AT5G41750;AT5G41740	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14670	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G03450	0	1	1	1	1	1	0	0	1	1	1	1	1
AT1G73170	1	1	1	1	1	1	1	1	1	0	1	1	1
AT5G36870	0	0	0	1	1	1	0	0	0	0	0	0	1
AT1G10090	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G15940;AT1G42110	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G58050	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G11730	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G47350	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G17180	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G66330	0	1	1	1	0	1	0	0	0	1	0	0	1
AT3G55630	0	0	0	1	1	1	1	1	1	0	0	1	1
AT3G51280	0	1	1	1	1	1	1	1	1	1	1	1	1
AT1G22210	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69040	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G18820	0	0	0	0	0	0	0	0	0	1	0	0	0
AT3G17690	0	0	1	1	1	0	1	1	1	0	1	1	1
AT5G10510	0	1	1	1	1	1	1	0	1	1	1	1	1
AT2G43770	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G29810	0	0	1	1	1	1	1	0	1	0	1	0	1
AT3G21500	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24750	0	0	0	1	1	0	1	0	1	1	0	1	1
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46440	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G06790	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G13020	0	0	0	0	0	0	1	0	0	0	0	0	0
AT3G57430	0	1	0	1	0	1	1	0	0	0	0	0	0
AT3G53080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G10600	0	1	1	0	0	1	0	0	0	0	0	0	1
AT1G09410	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09920	1	1	1	1	1	1	1	1	0	1	1	1	1
AT3G05570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G24010	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G39120	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G61360	1	1	1	1	1	1	0	0	1	0	1	1	1
AT1G64070	0	0	0	0	0	0	0	0	1	0	1	0	0
AT5G13850	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G16560	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G73177	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G65710	1	1	1	1	1	1	1	1	1	0	1	1	1
AT3G27260	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G02120	0	1	1	1	1	1	1	0	1	1	1	1	1
AT5G35540	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02630	1	0	0	1	0	1	1	1	1	1	1	1	1
AT1G08080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G24840	1	1	1	0	1	1	0	0	0	1	1	1	1
AT5G01410	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G13110	1	0	0	0	0	1	0	0	0	0	0	0	0
AT4G19230	1	1	0	1	0	1	1	1	0	0	1	1	1
AT3G46530	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G42690	1	0	1	1	1	0	1	1	1	1	1	0	1
AT3G12400	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G45310	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G49780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G16360	0	0	0	0	0	0	0	0	0	0	0	1	0
AT5G16870	0	1	1	0	0	1	0	0	0	1	1	0	1
AT5G45820	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53170	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G09415	0	0	0	0	0	0	1	1	0	0	0	0	0
