AT1G05070,265193_at
AT1G05100,265216_at
AT1G05120,265191_at
AT1G05140,264584_at
AT1G05150,264568_at
AT1G05160,264586_at
AT1G05170,264583_at
AT1G05180,264585_at
AT1G05190,264575_at
AT1G05200,264587_at
AT1G05205,264579_at
AT1G05210,264581_at
AT1G05230,264582_at
AT1G05250;AT1G05240,264567_s_at
AT1G05260,264577_at
AT1G05270,264566_at
AT1G05280,264565_at
AT1G05290,264564_at
AT1G05300,264574_at
AT1G05310,264573_at
AT1G05330,264571_at
AT1G05340,264580_at
AT1G05350,264570_at
AT1G05360,264576_at
AT1G05370,264578_at
AT1G05380,261383_at
AT1G05385,261388_at
AT1G05400,261380_at
AT1G05410,261387_at
AT1G05430,261386_at
AT1G05440,261384_at
AT1G05450,261385_at
AT1G05460,261381_at
AT1G05470,261382_at
AT1G05490,263203_at
AT1G05490,263204_at
AT1G05500,263205_at
AT1G05510,263175_at
AT1G05520,263185_at
AT1G05530,263176_at
AT1G05540,263177_at
AT1G05550,263178_at
AT1G05560,263184_at
AT1G05570,263183_at
AT1G05575,263182_at
AT1G05577,263233_at
AT1G05590,263199_at
AT1G05600,263200_at
AT1G05610,263201_at
AT1G05620,263180_at
AT1G05630,263202_at
AT1G05660;AT1G05650,263229_s_at
AT1G05670,263230_at
AT1G05680,263231_at
AT1G05690,257451_at
AT1G05700,263232_at
AT1G05710,263179_at
AT1G05720,263181_at
AT1G05740,257452_at
AT1G05750,261310_at
AT1G05760,261256_at
AT1G05770,261311_at
AT1G05790,261312_at
AT1G05800,261278_at
AT1G05805,261254_at
AT1G05810,261252_at
AT1G05840,261253_at
AT1G05850,261279_at
AT1G05860,261280_at
AT1G05880,261249_at
AT1G05890,261250_at
AT1G05900,261255_at
AT1G05910,261257_at
AT1G05920,261251_at
AT1G05940,260927_at
AT1G05950,260945_at
AT1G05960,260961_at
AT1G05990,260960_at
AT1G06000,260955_at
AT1G06010,260946_at
AT1G06020,260947_at
AT1G06030;AT1G50390,262460_s_at
AT1G06040,260956_at
AT1G06050,260959_at
AT1G06060,260958_at
AT1G06070,260953_at
AT1G06080,260957_at
AT1G06100,260948_at
AT1G06110,260949_at
AT1G06120;AT1G06090,260950_s_at
AT1G06130,260954_at
AT1G06140,260952_at
AT1G06145,260951_at
AT1G06160,260783_at
AT1G06170,257491_at
AT1G06180,260784_at
AT1G06190,260793_at
AT1G06200,260785_at
AT1G06210,260794_at
AT1G06220;AT5G25230,260786_s_at
AT1G06225,260795_at
AT1G06230,260787_at
AT1G06240,260790_at
AT1G06250,260791_at
AT1G06260,260788_at
AT1G06270,260792_at
AT1G06310,259419_at
AT1G06320,259389_at
AT1G06340,259390_at
AT1G06360;AT1G06350,259391_s_at
AT1G06380,259392_at
AT1G06390,259396_at
AT1G06400,259395_at
AT1G06410,259393_at
AT1G06420,259394_at
AT1G06430,262626_at
AT1G06440,262625_at
AT1G06450,262624_at
AT1G06460,262629_at
AT1G06470,262623_at
AT1G06490,262628_at
AT1G06500,262631_at
AT1G06510,262622_at
AT1G06520,262630_at
AT1G06530,262621_at
AT1G06540,262620_at
AT1G06550,262619_at
AT1G06560,262618_at
AT1G06570,262635_at
AT1G06580,262627_at
AT1G06590,262617_at
AT1G06620,262616_at
AT1G06630,262633_at
AT1G06640,262637_at
AT1G06650,262638_at
AT1G06670,262636_at
AT1G06680,262632_at
AT1G06690,262634_at
AT1G06700,260835_at
AT1G06710,260826_at
AT1G06720,260824_at
AT1G06730,260834_at
AT1G06740,260827_at
AT1G06750,260828_at
AT1G06760,260830_at
AT1G06770,260823_at
AT1G06780,260832_at
AT1G06790,260822_at
AT1G06800,260833_at
AT1G06820,260821_at
AT1G06830,260831_at
AT1G06840,260820_at
AT1G06850,260819_at
AT1G06870;AT2G30440,260829_s_at
AT1G06890,260818_at
AT1G06900,260817_at
AT1G06930,260816_at
AT1G06950,260815_at
AT1G06960,256052_at
AT1G06970,256051_at
AT1G06980,256066_at
AT1G06990,256059_at
AT1G07000,256050_at
AT1G07010,256049_at
AT1G07020,256064_at
AT1G07025,256048_at
AT1G07030,256055_at
AT1G07040,256061_at
AT1G07050,256060_at
AT1G07060,256047_at
AT1G07070,256065_at
AT1G07080,256034_at
AT1G07090,256062_at
AT1G07110,256036_at
AT1G07120,256054_at
AT1G07130,256063_at
AT1G07140,256035_at
AT1G07150,256045_at
AT1G07160,256044_at
AT1G07170,256067_at
AT1G07180,256057_at
AT1G07190,256056_at
AT1G07210,256043_at
AT1G07220,256042_at
AT1G07230,256041_at
